Students,Seminars,Time_Step1(s),Time_Step2(s),Time_Step3(s),Total_Time(s),Avg_Gap_Step3(%),Optimal_Runs,TimeLimit_Runs
25,5,0.016,0.158,0.237,0.411,0.0,5,0
50,5,0.029,1.774,3.961,5.763,0.0,5,0
75,5,0.033,4.651,17.251,21.935,0.0,5,0
100,5,0.031,15.094,79.032,94.157,0.0,5,0
125,5,0.041,53.645,280.241,333.927,16.1462,2,2
