Students,Seminars,Time_Step1(s),Time_Step2(s),Time_Step3(s),Total_Time(s),Avg_Gap_Step3(%),Optimal_Runs,TimeLimit_Runs
60,2,0.019,0.178,0.275,0.472,0.0,5,0
60,3,0.032,0.206,0.373,0.611,0.0,5,0
60,4,0.037,0.256,0.453,0.746,0.0,5,0
60,5,0.042,0.222,0.498,0.763,0.0,5,0
