Students,Seminars,Time_Step1(s),Time_Step2(s),Time_Step3(s),Total_Time(s),Avg_Gap_Step3(%),Optimal_Runs,TimeLimit_Runs
25,5,0.042,0.1,0.132,0.275,0.0,5,0
50,5,0.054,0.253,0.511,0.817,0.0,5,0
75,5,0.037,0.315,0.665,1.017,0.0,5,0
100,5,0.036,0.588,1.369,1.992,0.0,5,0
125,5,0.048,1.171,2.614,3.834,0.0,5,0
