Students,Seminars,Time_Step1(s),Time_Step2(s),Time_Step3(s),Total_Time(s),Avg_Gap_Step3(%),Optimal_Runs,TimeLimit_Runs
20,2,0.038,0.05,0.075,0.162,0.0,5,0
30,3,0.029,0.084,0.113,0.226,0.0,5,0
40,4,0.026,0.126,0.233,0.384,0.0,5,0
50,5,0.03,0.166,0.423,0.619,0.0,5,0
70,7,0.062,0.432,1.097,1.591,0.0,5,0
100,10,0.067,0.726,3.646,4.438,0.0,5,0
1000,100,3.739,70.899,0.0,74.638,0.0,0,0
