Students,Seminars,Time_Step1(s),Time_Step2(s),Time_Step3(s),Total_Time(s),Avg_Gap_Step3(%),Optimal_Runs,TimeLimit_Runs
25,5,0.111,0.128,0.232,0.471,0.0,5,0
50,5,0.08,0.292,0.622,0.994,0.0,5,0
75,5,0.04,0.338,0.702,1.08,0.0,5,0
100,5,0.04,0.602,1.403,2.045,0.0,5,0
125,5,0.049,0.967,2.232,3.248,0.0,5,0
1000,5,0.577,101.514,355.301,457.392,0.0,0,0
